Solving with SCIP 8.1.0 [LP solver: Glop 9.9]
Total makespan = 37.0
z 7 18 0 0.0
z 7 18 1 0.0
z 7 18 2 0.0
z 7 18 3 0.0
z 7 19 0 0.0
z 7 19 1 0.0
z 7 19 2 0.0
z 7 19 3 0.0
z 7 20 0 0.0
z 7 20 1 0.0
z 7 20 2 0.0
z 7 20 3 0.0
z 7 21 0 0.0
z 7 21 1 0.0
z 7 21 2 0.0
z 7 21 3 0.0
z 7 22 0 0.0
z 7 22 1 0.0
z 7 22 2 0.0
z 7 22 3 0.0
z 7 23 0 0.0
z 7 23 1 0.0
z 7 23 2 0.0
z 7 23 3 0.0
z 7 24 0 0.0
z 7 24 1 0.0
z 7 24 2 0.0
z 7 24 3 0.0
z 7 25 0 0.0
z 7 25 1 0.0
z 7 25 2 0.0
z 7 25 3 0.0
z 7 26 0 0.0
z 7 26 1 0.0
z 7 26 2 0.0
z 7 26 3 0.0
z 7 27 0 0.0
z 7 27 1 0.0
z 7 27 2 0.0
z 7 27 3 0.0
z 7 28 0 0.0
z 7 28 1 0.0
z 7 28 2 0.0
z 7 28 3 0.0
z 7 29 0 0.0
z 7 29 1 0.0
z 7 29 2 0.0
z 7 29 3 0.0
z 7 30 0 0.0
z 7 30 1 0.0
z 7 30 2 0.0
z 7 30 3 0.0
z 7 31 0 0.0
z 7 31 1 0.0
z 7 31 2 0.0
z 7 31 3 0.0
z 7 32 0 0.0
z 7 32 1 0.0
z 7 32 2 0.0
z 7 32 3 0.0
z 7 33 0 0.0
z 7 33 1 0.0
z 7 33 2 0.0
z 7 33 3 0.0
z 7 34 0 0.0
z 7 34 1 0.0
z 7 34 2 0.0
z 7 34 3 0.0
z 7 35 0 0.0
z 7 35 1 0.0
z 7 35 2 0.0
z 7 35 3 0.0
z 7 36 0 0.0
z 7 36 1 0.0
z 7 36 2 0.0
z 7 36 3 0.0
z 7 37 0 0.0
z 7 37 1 0.0
z 7 37 2 0.0
z 7 37 3 0.0
z 7 38 0 0.0
z 7 38 1 0.0
z 7 38 2 0.0
z 7 38 3 0.0
z 7 39 0 0.0
z 7 39 1 0.0
z 7 39 2 0.0
z 7 39 3 0.0
z 7 40 0 0.0
z 7 40 1 0.0
z 7 40 2 0.0
z 7 40 3 0.0
z 7 41 0 0.0
z 7 41 1 0.0
z 7 41 2 0.0
z 7 41 3 0.0
z 7 42 0 0.0
z 7 42 1 0.0
z 7 42 2 0.0
z 7 42 3 0.0
z 7 43 0 0.0
z 7 43 1 0.0
z 7 43 2 0.0
z 7 43 3 0.0
z 7 44 0 0.0
z 7 44 1 0.0
z 7 44 2 0.0
z 7 44 3 0.0
z 7 45 0 0.0
z 7 45 1 0.0
z 7 45 2 0.0
z 7 45 3 0.0
z 7 46 0 0.0
z 7 46 1 0.0
z 7 46 2 0.0
z 7 46 3 0.0
z 7 47 0 0.0
z 7 47 1 0.0
z 7 47 2 0.0
z 7 47 3 0.0
z 7 48 0 0.0
z 7 48 1 0.0
z 7 48 2 0.0
z 7 48 3 0.0
z 7 49 0 0.0
z 7 49 1 0.0
z 7 49 2 0.0
z 7 49 3 0.0
z 8 0 0 0.0
z 8 0 1 0.0
z 8 0 2 0.0
z 8 0 3 0.0
z 8 1 0 0.0
z 8 1 1 0.0
z 8 1 2 0.0
z 8 1 3 0.0
z 8 2 0 0.0
z 8 2 1 0.0
z 8 2 2 0.0
z 8 2 3 0.0
z 8 3 0 0.0
z 8 3 1 0.0
z 8 3 2 0.0
z 8 3 3 0.0
z 8 4 0 0.0
z 8 4 1 0.0
z 8 4 2 0.0
z 8 4 3 0.0
z 8 5 0 0.0
z 8 5 1 0.0
z 8 5 2 0.0
z 8 5 3 0.0
z 8 6 0 0.0
z 8 6 1 0.0
z 8 6 2 0.0
z 8 6 3 0.0
z 8 7 0 0.0
z 8 7 1 0.0
z 8 7 2 0.0
z 8 7 3 0.0
z 8 8 0 0.0
z 8 8 1 0.0
z 8 8 2 0.0
z 8 8 3 0.0
z 8 9 0 0.0
z 8 9 1 0.0
z 8 9 2 0.0
z 8 9 3 0.0
z 8 10 0 0.0
z 8 10 1 0.0
z 8 10 2 0.0
z 8 10 3 0.0
z 8 11 0 0.0
z 8 11 1 0.0
z 8 11 2 0.0
z 8 11 3 0.0
z 8 12 0 0.0
z 8 12 1 0.0
z 8 12 2 0.0
z 8 12 3 0.0
z 8 13 0 0.0
z 8 13 1 0.0
z 8 13 2 0.0
z 8 13 3 0.0
z 8 14 0 0.0
z 8 14 1 0.0
z 8 14 2 0.0
z 8 14 3 0.0
z 8 15 0 0.0
z 8 15 1 0.0
z 8 15 2 0.0
z 8 15 3 0.0
z 8 16 0 0.0
z 8 16 1 0.0
z 8 16 2 0.0
z 8 16 3 0.0
z 8 17 0 0.0
z 8 17 1 0.0
z 8 17 2 0.0
z 8 17 3 0.0
z 8 18 0 0.0
z 8 18 1 0.0
z 8 18 2 0.0
z 8 18 3 0.0
z 8 19 0 0.0
z 8 19 1 0.0
z 8 19 2 0.0
z 8 19 3 0.0
z 8 20 0 0.0
z 8 20 1 0.0
z 8 20 2 0.0
z 8 20 3 0.0
z 8 21 0 0.0
z 8 21 1 0.0
z 8 21 2 0.0
z 8 21 3 0.0
z 8 22 0 0.0
z 8 22 1 0.0
z 8 22 2 0.0
z 8 22 3 0.0
z 8 23 0 0.0
z 8 23 1 0.0
z 8 23 2 0.0
z 8 23 3 0.0
z 8 24 0 0.0
z 8 24 1 0.0
z 8 24 2 0.0
z 8 24 3 0.0
z 8 25 0 0.0
z 8 25 1 0.0
z 8 25 2 0.0
z 8 25 3 0.0
z 8 26 0 0.0
z 8 26 1 0.0
z 8 26 2 0.0
z 8 26 3 0.0
z 8 27 0 0.0
z 8 27 1 0.0
z 8 27 2 0.0
z 8 27 3 0.0
z 8 28 0 0.0
z 8 28 1 0.0
z 8 28 2 0.0
z 8 28 3 0.0
z 8 29 0 0.0
z 8 29 1 0.0
z 8 29 2 0.0
z 8 29 3 0.0
z 8 30 0 0.0
z 8 30 1 0.0
z 8 30 2 0.0
z 8 30 3 0.0
z 8 31 0 0.0
z 8 31 1 0.0
z 8 31 2 0.0
z 8 31 3 0.0
z 8 32 0 0.0
z 8 32 1 0.0
z 8 32 2 0.0
z 8 32 3 0.0
z 8 33 0 0.0
z 8 33 1 0.0
z 8 33 2 0.0
z 8 33 3 0.0
z 8 34 0 0.0
z 8 34 1 0.0
z 8 34 2 0.0
z 8 34 3 0.0
z 8 35 0 0.0
z 8 35 1 0.0
z 8 35 2 0.0
z 8 35 3 0.0
z 8 36 0 0.0
z 8 36 1 0.0
z 8 36 2 0.0
z 8 36 3 0.0
z 8 37 0 0.0
z 8 37 1 0.0
z 8 37 2 0.0
z 8 37 3 0.0
z 8 38 0 0.0
z 8 38 1 0.0
z 8 38 2 0.0
z 8 38 3 0.0
z 8 39 0 0.0
z 8 39 1 0.0
z 8 39 2 0.0
z 8 39 3 0.0
z 8 40 0 0.0
z 8 40 1 0.0
z 8 40 2 0.0
z 8 40 3 0.0
z 8 41 0 0.0
z 8 41 1 0.0
z 8 41 2 0.0
z 8 41 3 0.0
z 8 42 0 0.0
z 8 42 1 0.0
z 8 42 2 0.0
z 8 42 3 0.0
z 8 43 0 0.0
z 8 43 1 0.0
z 8 43 2 0.0
z 8 43 3 0.0
z 8 44 0 0.0
z 8 44 1 0.0
z 8 44 2 0.0
z 8 44 3 0.0
z 8 45 0 0.0
z 8 45 1 0.0
z 8 45 2 0.0
z 8 45 3 0.0
z 8 46 0 0.0
z 8 46 1 0.0
z 8 46 2 0.0
z 8 46 3 0.0
z 8 47 0 0.0
z 8 47 1 0.0
z 8 47 2 0.0
z 8 47 3 0.0
z 8 48 0 0.0
z 8 48 1 0.0
z 8 48 2 0.0
z 8 48 3 0.0
z 8 49 0 0.0
z 8 49 1 0.0
z 8 49 2 0.0
z 8 49 3 0.0
z 9 0 0 0.0
z 9 0 1 0.0
z 9 0 2 0.0
z 9 0 3 0.0
z 9 1 0 0.0
z 9 1 1 0.0
z 9 1 2 0.0
z 9 1 3 0.0
z 9 2 0 0.0
z 9 2 1 0.0
z 9 2 2 0.0
z 9 2 3 0.0
z 9 3 0 0.0
z 9 3 1 0.0
z 9 3 2 0.0
z 9 3 3 0.0
z 9 4 0 0.0
z 9 4 1 0.0
z 9 4 2 0.0
z 9 4 3 0.0
z 9 5 0 0.0
z 9 5 1 0.0
z 9 5 2 0.0
z 9 5 3 0.0
z 9 6 0 0.0
z 9 6 1 0.0
z 9 6 2 0.0
z 9 6 3 0.0
z 9 7 0 0.0
z 9 7 1 0.0
z 9 7 2 0.0
z 9 7 3 0.0
z 9 8 0 0.0
z 9 8 1 0.0
z 9 8 2 0.0
z 9 8 3 0.0
z 9 9 0 0.0
z 9 9 1 0.0
z 9 9 2 0.0
z 9 9 3 0.0
z 9 10 0 0.0
z 9 10 1 0.0
z 9 10 2 0.0
z 9 10 3 0.0
z 9 11 0 0.0
z 9 11 1 0.0
z 9 11 2 0.0
z 9 11 3 0.0
z 9 12 0 0.0
z 9 12 1 0.0
z 9 12 2 0.0
z 9 12 3 0.0
z 9 13 0 0.0
z 9 13 1 0.0
z 9 13 2 0.0
z 9 13 3 0.0
z 9 14 0 0.0
z 9 14 1 0.0
z 9 14 2 0.0
z 9 14 3 0.0
z 9 15 0 0.0
z 9 15 1 0.0
z 9 15 2 0.0
z 9 15 3 0.0
z 9 16 0 0.0
z 9 16 1 0.0
z 9 16 2 0.0
z 9 16 3 0.0
z 9 17 0 0.0
z 9 17 1 0.0
z 9 17 2 0.0
z 9 17 3 0.0
z 9 18 0 0.0
z 9 18 1 0.0
z 9 18 2 0.0
z 9 18 3 0.0
z 9 19 0 0.0
z 9 19 1 0.0
z 9 19 2 0.0
z 9 19 3 0.0
z 9 20 0 0.0
z 9 20 1 0.0
z 9 20 2 0.0
z 9 20 3 0.0
z 9 21 0 0.0
z 9 21 1 0.0
z 9 21 2 0.0
z 9 21 3 0.0
z 9 22 0 0.0
z 9 22 1 0.0
z 9 22 2 0.0
z 9 22 3 0.0
z 9 23 0 0.0
z 9 23 1 0.0
z 9 23 2 0.0
z 9 23 3 0.0
z 9 24 0 0.0
z 9 24 1 0.0
z 9 24 2 0.0
z 9 24 3 0.0
z 9 25 0 0.0
z 9 25 1 0.0
z 9 25 2 0.0
z 9 25 3 0.0
z 9 26 0 0.0
z 9 26 1 0.0
z 9 26 2 0.0
z 9 26 3 0.0
z 9 27 0 0.0
z 9 27 1 0.0
z 9 27 2 0.0
z 9 27 3 0.0
z 9 28 0 0.0
z 9 28 1 0.0
z 9 28 2 0.0
z 9 28 3 0.0
z 9 29 0 0.0
z 9 29 1 0.0
z 9 29 2 0.0
z 9 29 3 0.0
z 9 30 0 0.0
z 9 30 1 0.0
z 9 30 2 0.0
z 9 30 3 0.0
z 9 31 0 0.0
z 9 31 1 0.0
z 9 31 2 0.0
z 9 31 3 0.0
z 9 32 0 0.0
z 9 32 1 0.0
z 9 32 2 0.0
z 9 32 3 0.0
z 9 33 0 0.0
z 9 33 1 0.0
z 9 33 2 0.0
z 9 33 3 0.0
z 9 34 0 0.0
z 9 34 1 0.0
z 9 34 2 0.0
z 9 34 3 0.0
z 9 35 0 0.0
z 9 35 1 0.0
z 9 35 2 0.0
z 9 35 3 0.0
z 9 36 0 0.0
z 9 36 1 0.0
z 9 36 2 0.0
z 9 36 3 0.0
z 9 37 0 0.0
z 9 37 1 0.0
z 9 37 2 0.0
z 9 37 3 0.0
z 9 38 0 0.0
z 9 38 1 0.0
z 9 38 2 0.0
z 9 38 3 0.0
z 9 39 0 0.0
z 9 39 1 0.0
z 9 39 2 0.0
z 9 39 3 0.0
z 9 40 0 0.0
z 9 40 1 0.0
z 9 40 2 0.0
z 9 40 3 0.0
z 9 41 0 0.0
z 9 41 1 0.0
z 9 41 2 0.0
z 9 41 3 0.0
z 9 42 0 0.0
z 9 42 1 0.0
z 9 42 2 0.0
z 9 42 3 0.0
z 9 43 0 0.0
z 9 43 1 0.0
z 9 43 2 0.0
z 9 43 3 0.0
z 9 44 0 0.0
z 9 44 1 0.0
z 9 44 2 0.0
z 9 44 3 0.0
z 9 45 0 0.0
z 9 45 1 0.0
z 9 45 2 0.0
z 9 45 3 0.0
z 9 46 0 0.0
z 9 46 1 0.0
z 9 46 2 0.0
z 9 46 3 0.0
z 9 47 0 0.0
z 9 47 1 0.0
z 9 47 2 0.0
z 9 47 3 0.0
z 9 48 0 0.0
z 9 48 1 0.0
z 9 48 2 0.0
z 9 48 3 0.0
z 9 49 0 0.0
z 9 49 1 0.0
z 9 49 2 0.0
z 9 49 3 0.0
z 10 0 0 0.0
z 10 0 1 0.0
z 10 0 2 0.0
z 10 0 3 0.0
z 10 1 0 0.0
z 10 1 1 0.0
z 10 1 2 0.0
z 10 1 3 0.0
z 10 2 0 0.0
z 10 2 1 0.0
z 10 2 2 0.0
z 10 2 3 0.0
z 10 3 0 0.0
z 10 3 1 0.0
z 10 3 2 0.0
z 10 3 3 0.0
z 10 4 0 0.0
z 10 4 1 0.0
z 10 4 2 0.0
z 10 4 3 0.0
z 10 5 0 0.0
z 10 5 1 0.0
z 10 5 2 0.0
z 10 5 3 0.0
z 10 6 0 0.0
z 10 6 1 0.0
z 10 6 2 0.0
z 10 6 3 0.0
z 10 7 0 0.0
z 10 7 1 0.0
z 10 7 2 0.0
z 10 7 3 0.0
z 10 8 0 0.0
z 10 8 1 0.0
z 10 8 2 0.0
z 10 8 3 0.0
z 10 9 0 0.0
z 10 9 1 0.0
z 10 9 2 0.0
z 10 9 3 0.0
z 10 10 0 0.0
z 10 10 1 0.0
z 10 10 2 0.0
z 10 10 3 0.0
z 10 11 0 0.0
z 10 11 1 0.0
z 10 11 2 0.0
z 10 11 3 0.0
z 10 12 0 0.0
z 10 12 1 0.0
z 10 12 2 0.0
z 10 12 3 0.0
z 10 13 0 0.0
z 10 13 1 0.0
z 10 13 2 0.0
z 10 13 3 0.0
z 10 14 0 0.0
z 10 14 1 0.0
z 10 14 2 0.0
z 10 14 3 0.0
z 10 15 0 0.0
z 10 15 1 0.0
z 10 15 2 0.0
z 10 15 3 0.0
z 10 16 0 0.0
z 10 16 1 0.0
z 10 16 2 0.0
z 10 16 3 0.0
z 10 17 0 0.0
z 10 17 1 0.0
z 10 17 2 0.0
z 10 17 3 0.0
z 10 18 0 0.0
z 10 18 1 0.0
z 10 18 2 0.0
z 10 18 3 0.0
z 10 19 0 0.0
z 10 19 1 0.0
z 10 19 2 0.0
z 10 19 3 0.0
z 10 20 0 0.0
z 10 20 1 0.0
z 10 20 2 0.0
z 10 20 3 0.0
z 10 21 0 0.0
z 10 21 1 0.0
z 10 21 2 0.0
z 10 21 3 0.0
z 10 22 0 0.0
z 10 22 1 0.0
z 10 22 2 0.0
z 10 22 3 0.0
z 10 23 0 0.0
z 10 23 1 0.0
z 10 23 2 0.0
z 10 23 3 0.0
z 10 24 0 0.0
z 10 24 1 0.0
z 10 24 2 0.0
z 10 24 3 0.0
z 10 25 0 0.0
z 10 25 1 0.0
z 10 25 2 0.0
z 10 25 3 0.0
z 10 26 0 0.0
z 10 26 1 0.0
z 10 26 2 0.0
z 10 26 3 0.0
z 10 27 0 0.0
z 10 27 1 0.0
z 10 27 2 0.0
z 10 27 3 0.0
z 10 28 0 0.0
z 10 28 1 0.0
z 10 28 2 0.0
z 10 28 3 0.0
z 10 29 0 0.0
z 10 29 1 0.0
z 10 29 2 0.0
z 10 29 3 0.0
z 10 30 0 0.0
z 10 30 1 0.0
z 10 30 2 0.0
z 10 30 3 0.0
z 10 31 0 0.0
z 10 31 1 0.0
z 10 31 2 0.0
z 10 31 3 0.0
z 10 32 0 0.0
z 10 32 1 0.0
z 10 32 2 0.0
z 10 32 3 0.0
z 10 33 0 0.0
z 10 33 1 0.0
z 10 33 2 0.0
z 10 33 3 0.0
z 10 34 0 0.0
z 10 34 1 0.0
z 10 34 2 0.0
z 10 34 3 0.0
z 10 35 0 0.0
z 10 35 1 0.0
z 10 35 2 0.0
z 10 35 3 0.0
z 10 36 0 0.0
z 10 36 1 0.0
z 10 36 2 0.0
z 10 36 3 0.0
z 10 37 0 0.0
z 10 37 1 0.0
z 10 37 2 0.0
z 10 37 3 0.0
z 10 38 0 0.0
z 10 38 1 0.0
z 10 38 2 0.0
z 10 38 3 0.0
z 10 39 0 0.0
z 10 39 1 0.0
z 10 39 2 0.0
z 10 39 3 0.0
z 10 40 0 0.0
z 10 40 1 0.0
z 10 40 2 0.0
z 10 40 3 0.0
z 10 41 0 0.0
z 10 41 1 0.0
z 10 41 2 0.0
z 10 41 3 0.0
z 10 42 0 0.0
z 10 42 1 0.0
z 10 42 2 0.0
z 10 42 3 0.0
z 10 43 0 0.0
z 10 43 1 0.0
z 10 43 2 0.0
z 10 43 3 0.0
z 10 44 0 0.0
z 10 44 1 0.0
z 10 44 2 0.0
z 10 44 3 0.0
z 10 45 0 0.0
z 10 45 1 0.0
z 10 45 2 0.0
z 10 45 3 0.0
z 10 46 0 0.0
z 10 46 1 0.0
z 10 46 2 0.0
z 10 46 3 0.0
z 10 47 0 0.0
z 10 47 1 0.0
z 10 47 2 0.0
z 10 47 3 0.0
z 10 48 0 0.0
z 10 48 1 0.0
z 10 48 2 0.0
z 10 48 3 0.0
z 10 49 0 0.0
z 10 49 1 0.0
z 10 49 2 0.0
z 10 49 3 0.0
z 11 0 0 0.0
z 11 0 1 0.0
z 11 0 2 0.0
z 11 0 3 0.0
z 11 1 0 0.0
z 11 1 1 0.0
z 11 1 2 0.0
z 11 1 3 0.0
z 11 2 0 0.0
z 11 2 1 0.0
z 11 2 2 0.0
z 11 2 3 0.0
z 11 3 0 0.0
z 11 3 1 0.0
z 11 3 2 0.0
z 11 3 3 0.0
z 11 4 0 0.0
z 11 4 1 0.0
z 11 4 2 0.0
z 11 4 3 0.0
z 11 5 0 0.0
z 11 5 1 0.0
z 11 5 2 0.0
z 11 5 3 0.0
z 11 6 0 0.0
z 11 6 1 0.0
z 11 6 2 0.0
z 11 6 3 0.0
z 11 7 0 0.0
z 11 7 1 0.0
z 11 7 2 0.0
z 11 7 3 0.0
z 11 8 0 0.0
z 11 8 1 0.0
z 11 8 2 0.0
z 11 8 3 0.0
z 11 9 0 0.0
z 11 9 1 0.0
z 11 9 2 0.0
z 11 9 3 0.0
z 11 10 0 0.0
z 11 10 1 0.0
z 11 10 2 0.0
z 11 10 3 0.0
z 11 11 0 0.0
z 11 11 1 0.0
z 11 11 2 0.0
z 11 11 3 0.0
z 11 12 0 0.0
z 11 12 1 0.0
z 11 12 2 0.0
z 11 12 3 0.0
z 11 13 0 0.0
z 11 13 1 0.0
z 11 13 2 0.0
z 11 13 3 0.0
z 11 14 0 0.0
z 11 14 1 0.0
z 11 14 2 0.0
z 11 14 3 0.0
z 11 15 0 0.0
z 11 15 1 0.0
z 11 15 2 0.0
z 11 15 3 0.0
z 11 16 0 0.0
z 11 16 1 0.0
z 11 16 2 0.0
z 11 16 3 0.0
z 11 17 0 0.0
z 11 17 1 0.0
z 11 17 2 0.0
z 11 17 3 0.0
z 11 18 0 0.0
z 11 18 1 0.0
z 11 18 2 0.0
z 11 18 3 0.0
z 11 19 0 0.0
z 11 19 1 0.0
z 11 19 2 0.0
z 11 19 3 0.0
z 11 20 0 0.0
z 11 20 1 0.0
z 11 20 2 0.0
z 11 20 3 0.0
z 11 21 0 0.0
z 11 21 1 0.0
z 11 21 2 0.0
z 11 21 3 0.0
z 11 22 0 0.0
z 11 22 1 0.0
z 11 22 2 0.0
z 11 22 3 0.0
z 11 23 0 0.0
z 11 23 1 0.0
z 11 23 2 0.0
z 11 23 3 0.0
z 11 24 0 0.0
z 11 24 1 0.0
z 11 24 2 0.0
z 11 24 3 0.0
z 11 25 0 0.0
z 11 25 1 0.0
z 11 25 2 0.0
z 11 25 3 0.0
z 11 26 0 0.0
z 11 26 1 0.0
z 11 26 2 0.0
z 11 26 3 0.0
z 11 27 0 0.0
z 11 27 1 0.0
z 11 27 2 0.0
z 11 27 3 0.0
z 11 28 0 0.0
z 11 28 1 0.0
z 11 28 2 0.0
z 11 28 3 0.0
z 11 29 0 0.0
z 11 29 1 0.0
z 11 29 2 0.0
z 11 29 3 0.0
z 11 30 0 0.0
z 11 30 1 0.0
z 11 30 2 0.0
z 11 30 3 0.0
z 11 31 0 0.0
z 11 31 1 0.0
z 11 31 2 0.0
z 11 31 3 0.0
z 11 32 0 0.0
z 11 32 1 0.0
z 11 32 2 0.0
z 11 32 3 0.0
z 11 33 0 0.0
z 11 33 1 0.0
z 11 33 2 0.0
z 11 33 3 0.0
z 11 34 0 0.0
z 11 34 1 0.0
z 11 34 2 0.0
z 11 34 3 0.0
z 11 35 0 0.0
z 11 35 1 0.0
z 11 35 2 0.0
z 11 35 3 0.0
z 11 36 0 0.0
z 11 36 1 0.0
z 11 36 2 0.0
z 11 36 3 0.0
z 11 37 0 0.0
z 11 37 1 0.0
z 11 37 2 0.0
z 11 37 3 0.0
z 11 38 0 0.0
z 11 38 1 0.0
z 11 38 2 0.0
z 11 38 3 0.0
z 11 39 0 0.0
z 11 39 1 0.0
z 11 39 2 0.0
z 11 39 3 0.0
z 11 40 0 0.0
z 11 40 1 0.0
z 11 40 2 0.0
z 11 40 3 0.0
z 11 41 0 0.0
z 11 41 1 0.0
z 11 41 2 0.0
z 11 41 3 0.0
z 11 42 0 0.0
z 11 42 1 0.0
z 11 42 2 0.0
z 11 42 3 0.0
z 11 43 0 0.0
z 11 43 1 0.0
z 11 43 2 0.0
z 11 43 3 0.0
z 11 44 0 0.0
z 11 44 1 0.0
z 11 44 2 0.0
z 11 44 3 0.0
z 11 45 0 0.0
z 11 45 1 0.0
z 11 45 2 0.0
z 11 45 3 0.0
z 11 46 0 0.0
z 11 46 1 0.0
z 11 46 2 0.0
z 11 46 3 0.0
z 11 47 0 0.0
z 11 47 1 0.0
z 11 47 2 0.0
z 11 47 3 0.0
z 11 48 0 0.0
z 11 48 1 0.0
z 11 48 2 0.0
z 11 48 3 0.0
z 11 49 0 0.0
z 11 49 1 0.0
z 11 49 2 0.0
z 11 49 3 0.0
z 12 0 0 0.0
z 12 0 1 0.0
z 12 0 2 0.0
z 12 0 3 0.0
z 12 1 0 0.0
z 12 1 1 0.0
z 12 1 2 0.0
z 12 1 3 0.0
z 12 2 0 0.0
z 12 2 1 0.0
z 12 2 2 0.0
z 12 2 3 0.0
z 12 3 0 0.0
z 12 3 1 0.0
z 12 3 2 0.0
z 12 3 3 0.0
z 12 4 0 0.0
z 12 4 1 0.0
z 12 4 2 0.0
z 12 4 3 0.0
z 12 5 0 0.0
z 12 5 1 0.0
z 12 5 2 0.0
z 12 5 3 0.0
z 12 6 0 0.0
z 12 6 1 0.0
z 12 6 2 0.0
z 12 6 3 0.0
z 12 7 0 0.0
z 12 7 1 0.0
z 12 7 2 0.0
z 12 7 3 0.0
z 12 8 0 0.0
z 12 8 1 0.0
z 12 8 2 0.0
z 12 8 3 0.0
z 12 9 0 0.0
z 12 9 1 0.0
z 12 9 2 0.0
z 12 9 3 0.0
z 12 10 0 0.0
z 12 10 1 0.0
z 12 10 2 0.0
z 12 10 3 0.0
z 12 11 0 0.0
z 12 11 1 0.0
z 12 11 2 0.0
z 12 11 3 0.0
z 12 12 0 0.0
z 12 12 1 0.0
z 12 12 2 0.0
z 12 12 3 0.0
z 12 13 0 0.0
z 12 13 1 0.0
z 12 13 2 0.0
z 12 13 3 0.0
z 12 14 0 0.0
z 12 14 1 0.0
z 12 14 2 0.0
z 12 14 3 0.0
z 12 15 0 0.0
z 12 15 1 0.0
z 12 15 2 0.0
z 12 15 3 0.0
z 12 16 0 0.0
z 12 16 1 0.0
z 12 16 2 0.0
z 12 16 3 0.0
z 12 17 0 0.0
z 12 17 1 0.0
z 12 17 2 0.0
z 12 17 3 0.0
z 12 18 0 0.0
z 12 18 1 0.0
z 12 18 2 0.0
z 12 18 3 0.0
z 12 19 0 0.0
z 12 19 1 0.0
z 12 19 2 0.0
z 12 19 3 0.0
z 12 20 0 0.0
z 12 20 1 0.0
z 12 20 2 0.0
z 12 20 3 0.0
z 12 21 0 0.0
z 12 21 1 0.0
z 12 21 2 0.0
z 12 21 3 0.0
z 12 22 0 0.0
z 12 22 1 0.0
z 12 22 2 0.0
z 12 22 3 0.0
z 12 23 0 0.0
z 12 23 1 0.0
z 12 23 2 0.0
z 12 23 3 0.0
z 12 24 0 0.0
z 12 24 1 0.0
z 12 24 2 0.0
z 12 24 3 0.0
z 12 25 0 0.0
z 12 25 1 0.0
z 12 25 2 0.0
z 12 25 3 0.0
z 12 26 0 0.0
z 12 26 1 0.0
z 12 26 2 0.0
z 12 26 3 0.0
z 12 27 0 0.0
z 12 27 1 0.0
z 12 27 2 0.0
z 12 27 3 0.0
z 12 28 0 0.0
z 12 28 1 0.0
z 12 28 2 0.0
z 12 28 3 0.0
z 12 29 0 0.0
z 12 29 1 0.0
z 12 29 2 0.0
z 12 29 3 0.0
z 12 30 0 0.0
z 12 30 1 0.0
z 12 30 2 0.0
z 12 30 3 0.0
z 12 31 0 0.0
z 12 31 1 0.0
z 12 31 2 0.0
z 12 31 3 0.0
z 12 32 0 0.0
z 12 32 1 0.0
z 12 32 2 0.0
z 12 32 3 0.0
z 12 33 0 0.0
z 12 33 1 0.0
z 12 33 2 0.0
z 12 33 3 0.0
z 12 34 0 0.0
z 12 34 1 0.0
z 12 34 2 0.0
z 12 34 3 0.0
z 12 35 0 0.0
z 12 35 1 0.0
z 12 35 2 0.0
z 12 35 3 0.0
z 12 36 0 0.0
z 12 36 1 0.0
z 12 36 2 0.0
z 12 36 3 0.0
z 12 37 0 0.0
z 12 37 1 0.0
z 12 37 2 0.0
z 12 37 3 0.0
z 12 38 0 0.0
z 12 38 1 0.0
z 12 38 2 0.0
z 12 38 3 0.0
z 12 39 0 0.0
z 12 39 1 0.0
z 12 39 2 0.0
z 12 39 3 0.0
z 12 40 0 0.0
z 12 40 1 0.0
z 12 40 2 0.0
z 12 40 3 0.0
z 12 41 0 0.0
z 12 41 1 0.0
z 12 41 2 0.0
z 12 41 3 0.0
z 12 42 0 0.0
z 12 42 1 0.0
z 12 42 2 0.0
z 12 42 3 0.0
z 12 43 0 0.0
z 12 43 1 0.0
z 12 43 2 0.0
z 12 43 3 0.0
z 12 44 0 0.0
z 12 44 1 0.0
z 12 44 2 0.0
z 12 44 3 0.0
z 12 45 0 0.0
z 12 45 1 0.0
z 12 45 2 0.0
z 12 45 3 0.0
z 12 46 0 0.0
z 12 46 1 0.0
z 12 46 2 0.0
z 12 46 3 0.0
z 12 47 0 0.0
z 12 47 1 0.0
z 12 47 2 0.0
z 12 47 3 0.0
z 12 48 0 0.0
z 12 48 1 0.0
z 12 48 2 0.0
z 12 48 3 0.0
z 12 49 0 0.0
z 12 49 1 0.0
z 12 49 2 0.0
z 12 49 3 0.0
z 13 0 0 0.0
z 13 0 1 0.0
z 13 0 2 0.0
z 13 0 3 0.0
z 13 1 0 0.0
z 13 1 1 0.0
z 13 1 2 0.0
z 13 1 3 0.0
z 13 2 0 0.0
z 13 2 1 0.0
z 13 2 2 0.0
z 13 2 3 0.0
z 13 3 0 0.0
z 13 3 1 0.0
z 13 3 2 0.0
z 13 3 3 0.0
z 13 4 0 0.0
z 13 4 1 0.0
z 13 4 2 0.0
z 13 4 3 0.0
z 13 5 0 0.0
z 13 5 1 0.0
z 13 5 2 0.0
z 13 5 3 0.0
z 13 6 0 0.0
z 13 6 1 0.0
z 13 6 2 0.0
z 13 6 3 0.0
z 13 7 0 0.0
z 13 7 1 0.0
z 13 7 2 0.0
z 13 7 3 0.0
z 13 8 0 0.0
z 13 8 1 0.0
z 13 8 2 0.0
